,KIE,PJP,XBI,XLV,KIE_vol,PJP_vol,XBI_vol,XLV_vol,cpi,unemployment,interest_rate,trends_flu_symptoms,trends_fever,trends_shortness_of_breath,wili,ili,num_ili,num_patients,nchs_deaths
2011-05-08,11.260069847106934,21.38289451599121,23.190185546875,27.449317932128906,0.007645918797583287,0.007635772318846951,0.014841887241354582,0.006925843641779126,224.806,9.0,0.09,4,59,3,1.12194,1.10984,7236,651983,8769558.0
2011-05-15,11.138365745544434,21.765018463134766,23.70024871826172,27.897804260253906,0.010630596305184085,0.009039063107614261,0.012545328514704667,0.0053092282246012465,224.806,9.0,0.09,3,56,3,1.06712,1.0524,6530,620485,8769558.0
2011-05-22,11.044557571411133,21.70810890197754,23.716285705566406,27.86686134338379,0.005506688332508085,0.005252161748695497,0.010639429130978765,0.005823171972185183,224.806,9.0,0.09,3,55,3,1.05058,1.03536,6072,586460,8769558.0
2011-05-29,10.925385475158691,21.748760223388672,23.9600887298584,27.596229553222656,0.008061029550894968,0.006781674889067677,0.011981939138115008,0.0049895433301514755,224.806,9.0,0.09,3,57,3,1.15203,1.11777,5946,531954,8769558.0
2011-06-05,10.641414642333984,21.374767303466797,23.385862350463867,27.20962142944336,0.016145763927859984,0.012210333738886964,0.016520432662500896,0.011240461008159763,224.806,9.1,0.09,3,56,3,0.970975,0.982949,5547,564322,8769558.0
2011-06-12,10.205309867858887,20.9032039642334,22.71861457824707,26.915803909301758,0.010350321516716868,0.011065444866715885,0.01516801799227961,0.01083792546578994,224.806,9.1,0.09,3,55,3,0.894683,0.925194,4989,539238,8769558.0
2011-06-19,10.22731876373291,20.968793869018555,22.275917053222656,27.016624450683594,0.01739475853948187,0.00800268840740415,0.007328349690679243,0.008511762564605424,224.806,9.1,0.09,3,54,3,0.843568,0.835531,4448,532356,8769558.0
2011-06-26,10.171393394470215,21.254026412963867,22.680126190185547,26.946697235107422,0.010444585952453195,0.007459494043955737,0.009774505189065115,0.008844832556659856,224.806,9.1,0.09,3,54,3,0.815409,0.832393,4218,506732,8769558.0
2011-07-03,10.753558158874512,22.19937515258789,23.725908279418945,27.94127082824707,0.006502704826008696,0.005051212796855661,0.009513595342130438,0.005411743751123684,225.395,9.0,0.07,2,51,3,0.823052,0.855591,4009,468565,8769558.0
2011-07-10,10.684918403625488,22.370512008666992,24.19426155090332,27.801410675048828,0.013267615539736443,0.0012096316688953873,0.003814280760021844,0.0031320705415901185,225.395,9.0,0.07,2,50,3,0.674635,0.706949,3721,526346,8769558.0
2011-07-17,10.285796165466309,22.15047836303711,23.818927764892578,27.34295654296875,0.013772020262677669,0.009443491338186763,0.011685711711931114,0.006697830705938646,225.395,9.0,0.07,2,49,3,0.631883,0.694387,3597,518011,8769558.0
2011-07-24,10.250200271606445,22.346073150634766,24.235971450805664,27.65377426147461,0.015326392455755417,0.009548448379169521,0.01707067254056382,0.009305138089787064,225.395,9.0,0.07,2,48,3,0.641513,0.687976,3538,514262,8769558.0
2011-07-31,9.95021915435791,21.58815574645996,22.824472427368164,26.511577606201172,0.011911363788141048,0.007198941355359924,0.01616220223478627,0.0062396618268368365,225.395,9.0,0.07,2,51,3,0.529813,0.644743,3202,496632,8769558.0
2011-08-07,9.131628036499023,19.909347534179688,19.157806396484375,24.716676712036133,0.022645770350716344,0.025631362950196072,0.041849808153107994,0.01933714914782132,226.106,9.0,0.1,3,48,3,0.644089,0.67533,3523,521671,8769558.0
2011-08-14,8.70962142944336,19.958250045776367,19.21875,24.584592819213867,0.07917744293476241,0.044542025749354765,0.06095124928060664,0.044715792931706626,226.106,9.0,0.1,3,47,3,0.667718,0.72823,3874,531975,8769558.0
2011-08-21,8.2672758102417,19.347034454345703,18.708696365356445,24.11060905456543,0.029475577978276497,0.02160678906899851,0.032511745937464226,0.01824221342514755,226.106,9.0,0.1,3,49,3,0.705668,0.806526,4444,551005,8769558.0
2011-08-28,8.506244659423828,20.227184295654297,19.29574203491211,25.05080223083496,0.02035492148685455,0.020471498273403815,0.02867284926974103,0.018139620616812714,226.106,9.0,0.1,3,50,3,0.804155,0.860408,4717,548228,8769558.0
2011-09-04,8.496076583862305,20.33312225341797,19.404809951782227,25.213966369628906,0.03498600665403389,0.0188687746045614,0.025233876509920698,0.017462712951112135,226.597,9.0,0.08,4,52,3,0.907804,0.936075,4813,514168,8769558.0
2011-09-11,8.3257474899292,20.1619873046875,19.677490234375,24.840993881225586,0.037940235422738264,0.021399152343992884,0.03091557360622207,0.022669840930982173,226.597,9.0,0.08,5,53,3,1.00555,0.966683,5567,575887,8769558.0
2011-09-18,8.805601119995117,20.99776268005371,20.457021713256836,25.795135498046875,0.00784756228312407,0.007406793183738258,0.007527803335701969,0.0029681348132175427,226.597,9.0,0.08,6,54,3,1.03601,0.996007,5822,584534,8769558.0
2011-09-25,7.871709823608398,20.050373077392578,19.7352352142334,24.59208869934082,0.02156117003222772,0.015280164030153197,0.0171851847461697,0.014842568839055915,226.597,9.0,0.08,7,59,3,1.07583,1.10846,6708,605162,8769558.0
2011-10-02,8.149833679199219,20.06670570373535,19.090435028076172,24.78738784790039,0.031841937943518035,0.01543211629613659,0.019675021527383308,0.015787132323987232,226.75,8.8,0.07,7,54,3,1.16092,1.20345,9365,778182,8769558.0
2011-10-09,8.203420639038086,20.434240341186523,19.65182876586914,24.920194625854492,0.04060998252727796,0.023082855165113266,0.03779849068533502,0.019712422423673482,226.75,8.8,0.07,7,53,3,1.19785,1.23777,9803,791987,8769558.0
2011-10-16,8.797943115234375,21.34078598022461,20.627038955688477,25.685768127441406,0.023075744119594798,0.012121933184133191,0.011123006378424363,0.010272968655013474,226.75,8.8,0.07,8,55,3,1.27926,1.25259,9958,794995,8769558.0
2011-10-23,9.298060417175293,21.2346134185791,20.800270080566406,25.865442276000977,0.03138751173383623,0.015932465563076755,0.022325080650685433,0.013677084862198081,226.75,8.8,0.07,8,53,3,1.29194,1.30546,10298,788840,8769558.0
2011-10-30,9.63997745513916,22.108503341674805,21.73056983947754,26.724754333496094,0.028054765077561394,0.01944996890199232,0.026765911179268236,0.017182592565779104,226.75,8.8,0.07,8,55,3,1.42824,1.45295,11396,784334,8769558.0
2011-11-06,9.428192138671875,21.536800384521484,20.614206314086914,25.927932739257812,0.026026206401978412,0.014300411361041881,0.020753109371551576,0.014168856642545469,227.169,8.6,0.08,8,54,3,1.39803,1.44089,11496,797839,8769558.0
2011-11-13,9.49198055267334,21.985992431640625,19.895627975463867,26.615398406982422,0.022554722581993005,0.02011451571566691,0.019278617633831572,0.019414920370142114,227.169,8.6,0.08,8,60,3,1.45831,1.46221,11721,801594,8769558.0
2011-11-20,9.119446754455566,21.259111404418945,19.135347366333008,25.662328720092773,0.011501346493993219,0.007351135315892671,0.006750768806661461,0.008310404318750735,227.169,8.6,0.08,7,52,3,1.56548,1.65573,10377,626731,8769558.0
2011-11-27,8.693329811096191,20.646583557128906,19.177061080932617,24.771764755249023,0.013804985285469496,0.011262302476884445,0.02303288613964109,0.00997312550729552,227.169,8.6,0.08,8,53,3,1.34313,1.46606,11479,782984,8769558.0
