date,flu symptoms,fever,shortness of breath
2018-03-25,6,34,2
2018-04-01,4,33,2
2018-04-08,4,31,2
2018-04-15,3,31,2
2018-04-22,3,32,2
2018-04-29,3,33,2
2018-05-06,2,31,2
2018-05-13,2,33,2
2018-05-20,2,31,2
2018-05-27,2,31,2
2018-06-03,2,31,2
2018-06-10,2,31,2
2018-06-17,2,30,2
2018-06-24,1,31,2
2018-07-01,1,28,2
2018-07-08,1,28,2
2018-07-15,1,27,2
2018-07-22,1,26,2
2018-07-29,1,26,2
2018-08-05,1,27,2
2018-08-12,1,28,2
2018-08-19,2,29,2
2018-08-26,2,29,2
2018-09-02,2,29,2
2018-09-09,3,28,2
2018-09-16,3,30,2
2018-09-23,3,30,2
2018-09-30,4,30,2
2018-10-07,4,29,2
2018-10-14,5,30,2
2018-10-21,5,30,2
2018-10-28,5,31,2
2018-11-04,5,28,2
2018-11-11,5,31,2
2018-11-18,4,30,2
2018-11-25,6,31,2
2018-12-02,5,30,2
2018-12-09,5,32,2
2018-12-16,7,36,2
2018-12-23,9,39,2
2018-12-30,10,38,2
2019-01-06,9,35,2
2019-01-13,9,36,2
2019-01-20,9,39,2
2019-01-27,11,37,2
2019-02-03,13,40,2
2019-02-10,13,44,2
2019-02-17,13,42,2
2019-02-24,11,41,2
2019-03-03,11,39,2
2019-03-10,9,39,2
2019-03-17,7,38,2
2019-03-24,6,37,2
2019-03-31,5,33,2
2019-04-07,4,34,2
2019-04-14,3,31,2
2019-04-21,3,32,2
2019-04-28,3,32,2
2019-05-05,3,31,2
2019-05-12,2,32,2
2019-05-19,2,31,2
2019-05-26,2,32,2
2019-06-02,2,32,2
2019-06-09,2,29,2
2019-06-16,2,29,2
2019-06-23,2,29,2
2019-06-30,1,28,2
2019-07-07,2,28,2
2019-07-14,1,29,2
2019-07-21,1,27,2
2019-07-28,1,27,2
2019-08-04,1,27,2
2019-08-11,2,26,2
2019-08-18,2,27,2
2019-08-25,2,27,2
2019-09-01,2,28,2
2019-09-08,3,28,2
2019-09-15,3,29,2
2019-09-22,4,30,2
2019-09-29,3,29,2
2019-10-06,4,29,2
2019-10-13,5,30,2
2019-10-20,5,31,2
2019-10-27,5,29,2
2019-11-03,6,31,2
2019-11-10,6,32,2
2019-11-17,7,35,2
2019-11-24,6,32,2
2019-12-01,8,34,2
2019-12-08,8,37,2
2019-12-15,11,41,2
2019-12-22,15,48,2
2019-12-29,15,45,2
2020-01-05,14,42,2
2020-01-12,14,41,2
2020-01-19,16,44,2
2020-01-26,18,47,2
2020-02-02,18,47,3
2020-02-09,17,46,2
2020-02-16,14,46,3
2020-02-23,15,41,2
2020-03-01,18,47,3
2020-03-08,27,69,7
2020-03-15,21,100,11
2020-03-22,12,86,11
2020-03-29,7,70,9
2020-04-05,5,59,7
2020-04-12,3,44,5
2020-04-19,2,40,4
2020-04-26,2,37,4
2020-05-03,2,34,3
2020-05-10,2,35,3
2020-05-17,2,31,3
2020-05-24,2,31,3
2020-05-31,1,28,3
2020-06-07,1,30,3
2020-06-14,2,33,3
2020-06-21,2,36,4
2020-06-28,2,38,4
2020-07-05,2,41,4
2020-07-12,2,42,4
2020-07-19,2,38,3
2020-07-26,1,36,3
2020-08-02,1,34,3
2020-08-09,1,32,3
2020-08-16,1,31,3
2020-08-23,1,29,2
2020-08-30,2,30,3
2020-09-06,2,30,2
2020-09-13,2,29,2
2020-09-20,2,31,3
2020-09-27,3,31,3
2020-10-04,3,35,3
2020-10-11,3,32,3
2020-10-18,3,33,3
2020-10-25,3,31,3
2020-11-01,3,28,2
2020-11-08,3,35,3
2020-11-15,3,37,3
2020-11-22,3,35,3
2020-11-29,3,33,3
2020-12-06,3,35,3
2020-12-13,3,35,3
2020-12-20,3,35,3
2020-12-27,3,38,3
2021-01-03,3,36,3
2021-01-10,3,33,3
2021-01-17,2,33,3
2021-01-24,2,30,3
2021-01-31,2,31,3
2021-02-07,2,30,3
2021-02-14,2,29,3
2021-02-21,2,30,3
2021-02-28,2,29,3
2021-03-07,2,28,3
2021-03-14,2,27,2
2021-03-21,2,30,2
2021-03-28,2,32,3
2021-04-04,2,35,3
2021-04-11,2,33,3
2021-04-18,2,34,3
2021-04-25,2,32,3
2021-05-02,1,32,2
2021-05-09,2,32,2
2021-05-16,2,30,2
2021-05-23,1,29,2
2021-05-30,2,29,2
2021-06-06,1,29,2
2021-06-13,1,28,2
2021-06-20,1,28,2
2021-06-27,1,30,2
2021-07-04,1,30,2
2021-07-11,2,32,2
2021-07-18,2,34,2
2021-07-25,2,35,3
2021-08-01,2,36,3
2021-08-08,2,38,3
2021-08-15,2,40,3
2021-08-22,2,40,3
2021-08-29,2,41,3
2021-09-05,2,41,3
2021-09-12,3,37,3
2021-09-19,3,36,3
2021-09-26,3,35,3
2021-10-03,3,33,2
2021-10-10,3,35,2
2021-10-17,3,33,2
2021-10-24,3,32,2
2021-10-31,4,33,2
2021-11-07,4,36,2
2021-11-14,4,36,2
2021-11-21,4,34,2
2021-11-28,5,38,3
2021-12-05,5,38,2
2021-12-12,6,41,2
2021-12-19,9,53,3
2021-12-26,11,73,3
2022-01-02,15,96,5
2022-01-09,11,82,5
2022-01-16,7,67,4
2022-01-23,5,56,4
2022-01-30,4,51,4
2022-02-06,4,47,4
2022-02-13,4,45,3
2022-02-20,4,42,3
2022-02-27,4,41,3
2022-03-06,4,42,3
2022-03-13,4,43,3
2022-03-20,5,45,3
2022-03-27,5,42,3
2022-04-03,5,48,3
2022-04-10,5,49,3
2022-04-17,5,48,3
2022-04-24,5,50,3
2022-05-01,5,51,3
2022-05-08,5,56,3
2022-05-15,5,58,3
2022-05-22,4,54,3
2022-05-29,4,55,3
2022-06-05,4,54,3
2022-06-12,3,50,3
2022-06-19,3,53,3
2022-06-26,3,52,3
2022-07-03,3,55,3
2022-07-10,3,54,3
2022-07-17,3,57,3
2022-07-24,3,53,3
2022-07-31,3,48,3
2022-08-07,3,51,3
2022-08-14,3,50,3
